sku;price;special_from_date;special_to_date;special_price
G1D240 JMS-;395.87;30/12/14;31/12/50;277.69
CDD442 VE17541ONERO;211.57;30/12/14;31/12/50;148.76
CDD442 VE18041ONERO;211.57;30/12/14;31/12/50;148.76
CDD442 VE18541ONERO;211.57;30/12/14;31/12/50;148.76
CDD442 VE19041ONERO;211.57;30/12/14;31/12/50;148.76
CDD442 VE1;211.57;30/12/14;31/12/50;148.76
CDD442 VE1;211.57;30/12/14;31/12/50;148.76
CDD442 VE1;211.57;30/12/14;31/12/50;148.76
CDE179 VE17541ONERO;252.07;30/12/14;31/12/50;176.86
CDE179 VE18041ONERO;252.07;30/12/14;31/12/50;176.86
CDE179 VE18541ONERO;252.07;30/12/14;31/12/50;176.86
CDE179 VE19041ONERO;252.07;30/12/14;31/12/50;176.86
CDE179 VE1;252.07;30/12/14;31/12/50;176.86
CDE179 VE1;252.07;30/12/14;31/12/50;176.86
CDE179 VE1;252.07;30/12/14;31/12/50;176.86
CDE179 VT27541ONERO;228.93;30/12/14;31/12/50;160.33
CDE179 VT28041ONERO;228.93;30/12/14;31/12/50;160.33
CDE179 VT28541ONERO;228.93;30/12/14;31/12/50;160.33
CDE179 VT29041ONERO;228.93;30/12/14;31/12/50;160.33
CDE179 VT2;228.93;30/12/14;31/12/50;160.33
CDE179 VT2;228.93;30/12/14;31/12/50;160.33
CDE179 VT2;228.93;30/12/14;31/12/50;160.33
CDD259 NLAM7586OSAHARA;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM7592OSILVER;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM8086OSAHARA;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM8092OSILVER;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM8586OSAHARA;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM8592OSILVER;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM9086OSAHARA;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM9092OSILVER;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM;237.19;30/12/14;31/12/50;166.12
CDD259 NLAM;237.19;30/12/14;31/12/50;166.12
CDD259 VE17541OBLACK;228.93;30/12/14;31/12/50;160.33
CDD259 VE18041OBLACK;228.93;30/12/14;31/12/50;160.33
CDD259 VE18541OBLACK;228.93;30/12/14;31/12/50;160.33
CDD259 VE19041OBLACK;228.93;30/12/14;31/12/50;160.33
CDD259 VE1;228.93;30/12/14;31/12/50;160.33
CDD259 VE1;228.93;30/12/14;31/12/50;160.33
CDD259 VE1;228.93;30/12/14;31/12/50;160.33
69752 214928387008NERO;780.99;17/10/14;31/12/50;547.11
69752 214928407008NERO;780.99;17/10/14;31/12/50;547.11
69752 214928427008NERO;780.99;17/10/14;31/12/50;547.11
69752 214928447008NERO;780.99;17/10/14;31/12/50;547.11
69752 214928467008NERO;780.99;17/10/14;31/12/50;547.11
69752 214928;780.99;17/10/14;31/12/50;547.11
69752 214928;780.99;17/10/14;31/12/50;547.11
69752 214928;780.99;17/10/14;31/12/50;547.11
69468 214106401001BIANCO;721.49;17/10/14;31/12/50;505.79
69468 214106421001BIANCO;721.49;17/10/14;31/12/50;505.79
69468 214106;721.49;17/10/14;31/12/50;505.79
69468 214106;721.49;17/10/14;31/12/50;505.79
69468 214106;721.49;17/10/14;31/12/50;505.79
69665 214253381008NERO;2794.21;17/10/14;31/12/50;1956.20
69665 214253401008NERO;2794.21;17/10/14;31/12/50;1956.20
69665 214253;2794.21;17/10/14;31/12/50;1956.20
69665 214253;2794.21;17/10/14;31/12/50;1956.20
69665 214253;2794.21;17/10/14;31/12/50;1956.20
69454 214098388008WHT/BL;1779.34;17/10/14;31/12/50;1246.28
69454 214098408008WHT/BL;1779.34;17/10/14;31/12/50;1246.28
69454 214098;1779.34;17/10/14;31/12/50;1246.28
69454 214098;1779.34;17/10/14;31/12/50;1246.28
69454 214098;1779.34;17/10/14;31/12/50;1246.28
69754 206160401001BIANCO;1176.86;17/10/14;31/12/50;823.97
69754 206160421001BIANCO;1176.86;17/10/14;31/12/50;823.97
69754 206160;1176.86;17/10/14;31/12/50;823.97
69754 206160;1176.86;17/10/14;31/12/50;823.97
69754 206160;1176.86;17/10/14;31/12/50;823.97
69953 214631387000MULTI;754.55;17/10/14;31/12/50;528.93
69953 214631407000MULTI;754.55;17/10/14;31/12/50;528.93
69953 214631427000MULTI;754.55;17/10/14;31/12/50;528.93
69953 214631;754.55;17/10/14;31/12/50;528.93
69953 214631;754.55;17/10/14;31/12/50;528.93
69953 214631;754.55;17/10/14;31/12/50;528.93
69498 214223381008NERO;584.30;17/10/14;31/12/50;409.09
69498 214223382131FUXIA;584.30;17/10/14;31/12/50;409.09
69498 214223401008NERO;584.30;17/10/14;31/12/50;409.09
69498 214223402131FUXIA;584.30;17/10/14;31/12/50;409.09
69498 214223421008NERO;584.30;17/10/14;31/12/50;409.09
69498 214223422131FUXIA;584.30;17/10/14;31/12/50;409.09
69498 214223;584.30;17/10/14;31/12/50;409.09
69498 214223;584.30;17/10/14;31/12/50;409.09
69498 214223;584.30;17/10/14;31/12/50;409.09
69505 214402388008BLACK;669.42;17/10/14;31/12/50;468.60
69505 214402408008BLACK;669.42;17/10/14;31/12/50;468.60
69505 214402428008BLACK;669.42;17/10/14;31/12/50;468.60
69505 214402;669.42;17/10/14;31/12/50;468.60
69505 214402;669.42;17/10/14;31/12/50;468.60
69505 214402;669.42;17/10/14;31/12/50;468.60
69485 213837401008NERO;2880.17;17/10/14;31/12/50;2016.53
69485 213837421008NERO;2880.17;17/10/14;31/12/50;2016.53
69485 213837;2880.17;17/10/14;31/12/50;2016.53
69485 213837;2880.17;17/10/14;31/12/50;2016.53
69485 213837;2880.17;17/10/14;31/12/50;2016.53
69454 211562381519VERDE;1608.26;17/10/14;31/12/50;1126.45
69454 211562401519VERDE;1608.26;17/10/14;31/12/50;1126.45
69454 211562;1608.26;17/10/14;31/12/50;1126.45
69454 211562;1608.26;17/10/14;31/12/50;1126.45
69454 211562;1608.26;17/10/14;31/12/50;1126.45
69905 214633387519VERDE;890.08;17/10/14;31/12/50;623.14
69905 214633407519VERDE;890.08;17/10/14;31/12/50;623.14
69905 214633427519VERDE;890.08;17/10/14;31/12/50;623.14
69905 214633;890.08;17/10/14;31/12/50;623.14
69905 214633;890.08;17/10/14;31/12/50;623.14
69905 214633;890.08;17/10/14;31/12/50;623.14
69611 203618381008NERO;1169.42;17/10/14;31/12/50;819.01
69611 203618381287POWDER;1169.42;17/10/14;31/12/50;819.01
69611 203618381558CELADO;1169.42;17/10/14;31/12/50;819.01
69611 203618401008NERO;1169.42;17/10/14;31/12/50;819.01
69611 203618401287POWDER;1169.42;17/10/14;31/12/50;819.01
69611 203618401558CELADO;1169.42;17/10/14;31/12/50;819.01
69611 203618421008NERO;1169.42;17/10/14;31/12/50;819.01
69611 203618421287POWDER;1169.42;17/10/14;31/12/50;819.01
69611 203618421558CELADO;1169.42;17/10/14;31/12/50;819.01
69611 203618461008NERO;1169.42;17/10/14;31/12/50;819.01
69611 203618461287POWDER;1169.42;17/10/14;31/12/50;819.01
69611 203618461558CELADO;1169.42;17/10/14;31/12/50;819.01
69611 203618;1169.42;17/10/14;31/12/50;819.01
69611 203618;1169.42;17/10/14;31/12/50;819.01
69611 203618;1169.42;17/10/14;31/12/50;819.01
69623 203618381001BIANCO;1094.21;17/10/14;31/12/50;766.12
69623 203618381287POWDER;1094.21;17/10/14;31/12/50;766.12
69623 203618381385BLUE;1094.21;17/10/14;31/12/50;766.12
69623 203618401001BIANCO;1094.21;17/10/14;31/12/50;766.12
69623 203618401287POWDER;1094.21;17/10/14;31/12/50;766.12
69623 203618401385BLUE;1094.21;17/10/14;31/12/50;766.12
69623 203618421001BIANCO;1094.21;17/10/14;31/12/50;766.12
69623 203618421287POWDER;1094.21;17/10/14;31/12/50;766.12
69623 203618421385BLUE;1094.21;17/10/14;31/12/50;766.12
69623 203618441001BIANCO;1094.21;17/10/14;31/12/50;766.12
69623 203618441287POWDER;1094.21;17/10/14;31/12/50;766.12
69623 203618441385BLUE;1094.21;17/10/14;31/12/50;766.12
69623 203618461001BIANCO;1094.21;17/10/14;31/12/50;766.12
69623 203618461287POWDER;1094.21;17/10/14;31/12/50;766.12
69623 203618461385BLUE;1094.21;17/10/14;31/12/50;766.12
69623 203618;1094.21;17/10/14;31/12/50;766.12
69623 203618;1094.21;17/10/14;31/12/50;766.12
69623 203618;1094.21;17/10/14;31/12/50;766.12
69615 203618401287POWDER;754.55;17/10/14;31/12/50;528.93
69615 203618421287POWDER;754.55;17/10/14;31/12/50;528.93
69615 203618;754.55;17/10/14;31/12/50;528.93
69615 203618;754.55;17/10/14;31/12/50;528.93
69615 203618;754.55;17/10/14;31/12/50;528.93
69609 203618381287POWDER;329.75;17/10/14;31/12/50;231.40
69609 203618401287POWDER;329.75;17/10/14;31/12/50;231.40
69609 203618421287POWDER;329.75;17/10/14;31/12/50;231.40
69609 203618;329.75;17/10/14;31/12/50;231.40
69609 203618;329.75;17/10/14;31/12/50;231.40
69609 203618;329.75;17/10/14;31/12/50;231.40
69614 203618381008NERO;1373.55;30/12/99;30/12/99;961.98
69614 203618401008NERO;1373.55;30/12/99;30/12/99;961.98
69614 203618421008NERO;1373.55;30/12/99;30/12/99;961.98
69614 203618;1373.55;30/12/99;30/12/99;961.98
69614 203618;1373.55;30/12/99;30/12/99;961.98
69614 203618;1373.55;30/12/99;30/12/99;961.98
69872 203618381001BIANCO;1117.36;17/10/14;31/12/50;782.64
69872 203618381558CELADO;1117.36;17/10/14;31/12/50;782.64
69872 203618401001BIANCO;1117.36;17/10/14;31/12/50;782.64
69872 203618401558CELADO;1117.36;17/10/14;31/12/50;782.64
69872 203618421001BIANCO;1117.36;17/10/14;31/12/50;782.64
69872 203618421558CELADO;1117.36;17/10/14;31/12/50;782.64
69872 203618461001BIANCO;1117.36;17/10/14;31/12/50;782.64
69872 203618461558CELADO;1117.36;17/10/14;31/12/50;782.64
69872 203618;1117.36;17/10/14;31/12/50;782.64
69872 203618;1117.36;17/10/14;31/12/50;782.64
69872 203618;1117.36;17/10/14;31/12/50;782.64
69760 214524387385BLUE;1568.60;17/10/14;31/12/50;1098.35
69760 214524407385BLUE;1568.60;17/10/14;31/12/50;1098.35
69760 214524427385BLUE;1568.60;17/10/14;31/12/50;1098.35
69760 214524447385BLUE;1568.60;17/10/14;31/12/50;1098.35
69760 214524467385BLUE;1568.60;17/10/14;31/12/50;1098.35
69760 214524;1568.60;17/10/14;31/12/50;1098.35
69760 214524;1568.60;17/10/14;31/12/50;1098.35
69760 214524;1568.60;17/10/14;31/12/50;1098.35
69756 214524407385BLUE;1373.55;17/10/14;31/12/50;961.98
69756 214524427385BLUE;1373.55;17/10/14;31/12/50;961.98
69756 214524447385BLUE;1373.55;17/10/14;31/12/50;961.98
69756 214524467385BLUE;1373.55;17/10/14;31/12/50;961.98
69756 214524;1373.55;17/10/14;31/12/50;961.98
69756 214524;1373.55;17/10/14;31/12/50;961.98
69756 214524;1373.55;17/10/14;31/12/50;961.98
69602 214568407385BLUE;1779.34;17/10/14;31/12/50;1246.28
69602 214568427385BLUE;1779.34;17/10/14;31/12/50;1246.28
69602 214568447385BLUE;1779.34;17/10/14;31/12/50;1246.28
69602 214568467385BLUE;1779.34;17/10/14;31/12/50;1246.28
69602 214568;1779.34;17/10/14;31/12/50;1246.28
69602 214568;1779.34;17/10/14;31/12/50;1246.28
69602 214568;1779.34;17/10/14;31/12/50;1246.28
69752 214528407385BLUE;745.45;17/10/14;31/12/50;522.31
69752 214528427385BLUE;745.45;17/10/14;31/12/50;522.31
69752 214528447385BLUE;745.45;17/10/14;31/12/50;522.31
69752 214528;745.45;17/10/14;31/12/50;522.31
69752 214528;745.45;17/10/14;31/12/50;522.31
69752 214528;745.45;17/10/14;31/12/50;522.31
69701 213222258003BLUE;566.94;17/10/14;31/12/50;397.52
69701 213222268003BLUE;566.94;17/10/14;31/12/50;397.52
69701 213222278003BLUE;566.94;17/10/14;31/12/50;397.52
69701 213222288003BLUE;566.94;17/10/14;31/12/50;397.52
69701 213222298003BLUE;566.94;17/10/14;31/12/50;397.52
69701 213222;566.94;17/10/14;31/12/50;397.52
69701 213222;566.94;17/10/14;31/12/50;397.52
69701 213222;566.94;17/10/14;31/12/50;397.52
69702 212133258671GREY;399.17;17/10/14;31/12/50;280.17
69702 212133268671GREY;399.17;17/10/14;31/12/50;280.17
69702 212133278671GREY;399.17;17/10/14;31/12/50;280.17
69702 212133288671GREY;399.17;17/10/14;31/12/50;280.17
69702 212133298671GREY;399.17;17/10/14;31/12/50;280.17
69702 212133;399.17;17/10/14;31/12/50;280.17
69702 212133;399.17;17/10/14;31/12/50;280.17
69702 212133;399.17;17/10/14;31/12/50;280.17
69858 214118408000MULTI;1397.52;17/10/14;31/12/50;978.51
69858 214118428000MULTI;1397.52;17/10/14;31/12/50;978.51
69858 214118;1397.52;17/10/14;31/12/50;978.51
69858 214118;1397.52;17/10/14;31/12/50;978.51
69858 214118;1397.52;17/10/14;31/12/50;978.51
69758 211564401385BLUE;1525.62;17/10/14;31/12/50;1068.60
69758 211564421385BLUE;1525.62;17/10/14;31/12/50;1068.60
69758 211564461385BLUE;1525.62;17/10/14;31/12/50;1068.60
69758 211564;1525.62;17/10/14;31/12/50;1068.60
69758 211564;1525.62;17/10/14;31/12/50;1068.60
69758 211564;1525.62;17/10/14;31/12/50;1068.60
69620 203618381008NERO;296.69;17/10/14;31/12/50;208.26
69620 203618401008NERO;296.69;17/10/14;31/12/50;208.26
69620 203618421008NERO;296.69;17/10/14;31/12/50;208.26
69620 203618;296.69;17/10/14;31/12/50;208.26
69620 203618;296.69;17/10/14;31/12/50;208.26
69620 203618;296.69;17/10/14;31/12/50;208.26
64332 213311L1008NERO;508.26;17/10/14;31/12/50;356.20
64332 213311M1008NERO;508.26;17/10/14;31/12/50;356.20
64332 213311S1008NERO;508.26;17/10/14;31/12/50;356.20
64332 213311XS1008NERO;508.26;17/10/14;31/12/50;356.20
64332 213311;508.26;17/10/14;31/12/50;356.20
64332 213311;508.26;17/10/14;31/12/50;356.20
64332 213311;508.26;17/10/14;31/12/50;356.20
69933 213372L1385BLUE;500.83;17/10/14;31/12/50;351.24
69933 213372M1385BLUE;500.83;17/10/14;31/12/50;351.24
69933 213372S1385BLUE;500.83;17/10/14;31/12/50;351.24
69933 213372XS1385BLUE;500.83;17/10/14;31/12/50;351.24
69933 213372;500.83;17/10/14;31/12/50;351.24
69933 213372;500.83;17/10/14;31/12/50;351.24
69933 213372;500.83;17/10/14;31/12/50;351.24
69930 214683L1001BIANCO;415.70;17/10/14;31/12/50;291.74
69930 214683L1385BLUE;415.70;17/10/14;31/12/50;291.74
69930 214683M1001BIANCO;415.70;17/10/14;31/12/50;291.74
69930 214683M1385BLUE;415.70;17/10/14;31/12/50;291.74
69930 214683S1001BIANCO;415.70;17/10/14;31/12/50;291.74
69930 214683S1385BLUE;415.70;17/10/14;31/12/50;291.74
69930 214683XS1001BIANCO;415.70;17/10/14;31/12/50;291.74
69930 214683XS1385BLUE;415.70;17/10/14;31/12/50;291.74
69930 214683;415.70;17/10/14;31/12/50;291.74
69930 214683;415.70;17/10/14;31/12/50;291.74
69930 214683;415.70;17/10/14;31/12/50;291.74
69657 214169401008NERO;382.64;17/10/14;31/12/50;268.60
69657 214169421008NERO;382.64;17/10/14;31/12/50;268.60
69657 214169;382.64;17/10/14;31/12/50;268.60
69657 214169;382.64;17/10/14;31/12/50;268.60
69657 214169;382.64;17/10/14;31/12/50;268.60
69619 213170401008NERO;3812.40;17/10/14;31/12/50;2669.42
69619 213170421008NERO;3812.40;17/10/14;31/12/50;2669.42
69619 213170;3812.40;17/10/14;31/12/50;2669.42
69619 213170;3812.40;17/10/14;31/12/50;2669.42
69619 213170;3812.40;17/10/14;31/12/50;2669.42
70134 214781401385BLUE;1440.50;17/10/14;31/12/50;1009.09
70134 214781421385BLUE;1440.50;17/10/14;31/12/50;1009.09
70134 214781;1440.50;17/10/14;31/12/50;1009.09
70134 214781;1440.50;17/10/14;31/12/50;1009.09
70134 214781;1440.50;17/10/14;31/12/50;1009.09
BFD668 NAR4--UNICA01OBIANCO;874.38;30/12/14;31/12/50;612.40
BFD668 NAR4--UNICA41ONERO;874.38;30/12/14;31/12/50;612.40
BFD668 NAR4--UNICA68OPOWDER;874.38;30/12/14;31/12/50;612.40
BFD668 NAR4--;874.38;30/12/14;31/12/50;612.40
BFD668 NAR4--;874.38;30/12/14;31/12/50;612.40
BFD668 NAR4--;874.38;30/12/14;31/12/50;612.40
BFD668 NLT1UNICA92OARGENTO;934.71;30/12/14;31/12/50;654.55
BFD668 NLT1;934.71;30/12/14;31/12/50;654.55
BFD668 NLT1;934.71;30/12/14;31/12/50;654.55
BFD668 NLT1;934.71;30/12/14;31/12/50;654.55
BFD669 NLT1UNICA92OARGENT;1106.61;30/12/14;31/12/50;775.21
BFD669 NLT1;1106.61;30/12/14;31/12/50;775.21
BFD669 NLT1;1106.61;30/12/14;31/12/50;775.21
BFD669 NLT1;1106.61;30/12/14;31/12/50;775.21
BFD669 NAR4--UNICA01OBIANCO;1046.28;30/12/14;31/12/50;733.06
BFD669 NAR4--UNICA41ONERO;1046.28;30/12/14;31/12/50;733.06
BFD669 NAR4--;1046.28;30/12/14;31/12/50;733.06
BFD669 NAR4--;1046.28;30/12/14;31/12/50;733.06
BFD669 NAR4--;1046.28;30/12/14;31/12/50;733.06
BFD289 NAR4-UNICA41ONERO;1552.89;30/12/14;31/12/50;1087.60
BFD289 NAR4-UNICA68OPOWDER;1552.89;30/12/14;31/12/50;1087.60
BFD289 NAR4-;1552.89;30/12/14;31/12/50;1087.60
BFD289 NAR4-;1552.89;30/12/14;31/12/50;1087.60
BFD289 NAR4-;1552.89;30/12/14;31/12/50;1087.60
BFD289 NLT1UNICA86OSAHARA;1647.11;30/12/14;31/12/50;1153.72
BFD289 NLT1;1647.11;30/12/14;31/12/50;1153.72
BFD289 NLT1;1647.11;30/12/14;31/12/50;1153.72
BFD289 NLT1;1647.11;30/12/14;31/12/50;1153.72
BCD127 VRTV-UNICA41ONERO;1064.46;30/12/14;31/12/50;745.45
BCD127 VRTV-UNICA68OPOWDER;1064.46;30/12/14;31/12/50;745.45
BCD127 VRTV-;1064.46;30/12/14;31/12/50;745.45
BCD127 VRTV-;1064.46;30/12/14;31/12/50;745.45
BCD127 VRTV-;1064.46;30/12/14;31/12/50;745.45
BCD128 VRTV-UNICA41ONERO;1269.42;30/12/14;31/12/50;889.26
BCD128 VRTV-UNICA68OPOWDER;1269.42;30/12/14;31/12/50;889.26
BCD128 VRTV-;1269.42;30/12/14;31/12/50;889.26
